Name,lat,lon,dist_from_depo
Muyange-Gasoho,-2.8120115,30.129159,73.27071899436777
Rusengo,-3.3999897,30.3532833,50.50467254821779
Kobero,-2.653605,30.4069397,102.99974672198255
Gitandu,-3.755371,29.6677905,43.97672883792683
Butwe,-3.7788147,29.7229694,42.97182590008475
Mahwa,-3.80367,29.7819641,43.003287214710014
Kiryama,-3.8671172,29.722502,51.865773587603904
Kiremba,-3.942023,29.6747025,61.570546817309285
Vyuya,-3.7059654,29.6607451,40.19580738923474
Nyakararo,-3.5284079,29.6044951,34.478297542674305
Ijenda,-3.4803969,29.5636502,37.735713391281486
Gitaba,-3.873949,29.9699439,49.342113076968
Banda,-4.4472927,29.6634283,115.16377299536394
Gatete,-4.046748,29.4784727,82.42614453867934
Karonda,-4.0889831,29.497039,85.20865203813231
Buhonga,-3.4338553,29.4105109,54.39255009445309
Nyagasasa,-3.5942681,29.5911101,38.66230310420781
Ruvuye,-3.948919,29.8431612,57.36513702659887
Nyange,-4.1446084,29.8943831,78.65834467136813
Ntirwonza,-3.8519144,29.9141479,46.31653947934621
Dunga,-4.1769268,29.9307859,82.3007134205166
Bigugo,-3.9104747,29.974349,53.40796503999105
Rangi,-3.4731834,30.200684,33.70143174834025
Mugege,-3.6147177,30.1149368,31.189344600942118
Tetero,-3.0095312,30.7810775,108.56098259340482
Nyakatsi,-3.1577676,30.6248137,86.12268630593206
Rurengera,-3.1861429,30.6426411,86.94076721694998
Butora,-3.5135797,29.6347403,30.782494717599835
Mweya,-3.4909196,29.9261668,7.003559544565849
Gitibu,-3.1856809,30.5747403,79.82994341542452
Gikora,-3.1067373,30.5519613,80.95809912343174
Nyabisinda,-2.9212484,30.3984456,79.21712095317385
Kibongera,-2.8683768,30.380332,82.17485336456755
Rugari,-2.7287338,30.3999741,95.70055682868924
Murama,-2.696404,30.473291,103.44482684743728
Nyabibuye,-3.3285041,30.0262546,18.19709144171566
Ruyange,-3.0229646,29.8868201,45.39762626659473
Rubarazi,-3.3806579,29.9438784,7.5933974720483475
Nyangwe,-3.0851249,29.9108826,38.519453916300364
Mirama,-3.3796679,29.9943205,12.042781269762811
Gakere,-2.8536888,30.0436302,66.05047676362808
Cayi,-2.8900535,30.0410628,62.08345075706168
Gikuyo,-2.6141944,30.0741016,92.6192458738789
Gikomero,-2.7729321,30.0889004,75.98084706822954
Kigozi,-2.5375893,30.1046836,101.62542380009921
Rusengo,-3.0393639,30.0647322,47.2518595261889
Ruganza,-2.9048191,29.6132369,66.56542641789761
Butegana,-2.8739745,29.6288825,68.79980227187013
Bubenga,-2.9147623,29.4432448,76.58411616979207
Rusenda,-2.8234903,29.2642629,97.6754704240255
Gasenyi,-3.0397306,29.6349061,52.555501651845866
Matara,-3.4811378,29.4807051,46.89064812651583
Rubimba,-3.9820433,29.8359459,61.09523002390131
Buraniro,-3.7801991,29.6619296,46.59451101387911
Kibungo,-3.7824204,29.6470968,47.74768510318647
Nuyange,-4.3076783,29.6848958,99.59606746744315
Ruziba,-3.4740795,29.3592274,60.25888589524876
Resha,-3.8632919,29.3772073,75.06040861614463
Kamesa,-3.4203822,29.3834642,57.41614457011148
Gihofi,-4.0265749,30.1409204,70.85256655502961
Yaranda,-2.5168516,30.1120935,104.04519554027068
Gisagara,-3.1782869,30.8238704,106.47660998823555
Buta,-3.9555576,29.7065616,61.61910505504342
Buruhukiro,-3.9952739,29.5213596,75.03928830458378
Kabonga,-4.4039191,29.6694119,110.34342859444534
Mutimbuzi,-3.3163946,29.3642082,60.92848227975669
Vugizo,-3.2707702,29.2434996,75.13810386980484
Gatabo,-3.2803949,29.7017338,27.77307771754002
Butahana,-2.7417718,29.2518351,105.06340411306928
Musenyi,-2.956242,30.0319647,54.753162302600046
Teza,-3.2160084,29.5628806,44.508090437359236
Vumwe,-3.62648,30.3169381,51.01372425707683
Mukoni,-2.8622758,30.3220831,78.66407373122085
Mutambara,-4.0094797,29.4543045,80.68877242669033
Kabo,-4.3003683,29.6459586,99.94529248331834
Kazirabageni,-4.266858,29.6246949,97.1138469645832
Mvugo,-4.2906519,29.5692175,101.67511125045112
Rimbo,-4.1754897,29.5409893,91.24576546538279
"Source d'eau de la C R B, U.C KAREMERA",-2.8325768,30.3685871,84.41179878062476
Gaseru,-3.5216605,29.3976417,56.668670292219375
Kibuye,-3.6639211,29.9815243,27.06261969869818
Kayongozi,-3.2726976,30.3361855,51.62415087851292
Tangara,-2.6791714,30.3573073,97.66277548423018
Gisanze,-2.779008,30.182833,78.88545845964438
Gasenyi,-2.3754744,30.2219352,122.324660620445
Mutoyi,-3.2138715,29.9786581,25.790593046480627
Kiyonza,-2.3756976,30.0138909,117.63012927655592
Rubuga,-2.3813143,30.0408121,117.37426854912104
Rutega,-2.4675369,30.1005827,109.09471839755915
Murehe,-2.4026347,30.2199422,119.38972299743725
Marembo,-2.4578124,30.177293,112.18532793751382
Gatare,-2.4719134,30.26538,113.80355738791543
Nzove,-2.3766138,30.3843427,128.6559687224975
Rubura,-2.8329884,29.6307015,72.81796016853072
Campazi,-2.9795798,29.5808021,61.44774614975864
Mubuga,-2.9871327,29.5979683,59.673877905096305
Nyabitare,-3.4500035,30.4107222,56.781530324753156
Mugera,-3.3211013,29.9646241,14.335301112383888
Mubuga,-3.4171457,30.0265082,14.170877084747934
Gakungu,-3.7509576,30.3211533,58.508506228860526
Kwisumo,-3.3619511,30.2664088,41.474552192705765
Ngoma,-3.7781056,30.0082113,39.978640176904065
Maranvya,-3.5499441,29.9767691,15.46382368162195
Nyabiraba,-3.5593799,29.8961767,13.94818525816068
Nyagatovu,-3.5703591,29.440946,53.210883557823685
Mutumba,-3.5886302,29.3597192,62.44051499211888
Kigwena,-4.1473727,29.5317843,88.9255691156861
Rutsindu,-3.0492624,30.764367,105.03518282408477
Kibimba,-3.1261974,30.7042082,95.61211004317195
Ntunda,-3.0836439,30.7571586,102.81223867106593
Kaniha,-3.0759707,30.7272772,100.07508717005776
Munzenze,-2.9937576,30.7216948,103.4554625357689
Muzirangerera,-2.989257,30.6831485,99.93750835332483
Kirasira,-3.398316,30.1597762,29.125173914401067
Solero,-3.3873294,30.1914391,32.78230230956768
Nkongwe,-3.3764475,30.1465404,28.108666866540606
Nyeshenza,-2.7523724,29.1085355,115.79899895070876
Ruzo,-2.3982979,30.4402734,129.25183196580224
Mugano,-2.611586,30.4153422,107.41499806003529
Gasave,-2.555107,30.3877004,111.21793035210882
Buhoro,-2.465894,30.3811524,119.60132534353717
Murore,-2.5485153,30.2424844,104.98415463567227
Nyagisozi,-2.475005,30.2702769,113.68025702595423
Gisenyi,-2.4897146,30.190322,109.21693319556444
Mukerwa,-2.6024763,30.2179861,98.43628667444963
Shombo,-3.3565938,29.6230301,31.925767945705253
Kigoma,-2.5071256,30.0231432,103.32476274590327
Kigina,-2.4157746,30.0559118,113.84240647421689
Kiyanza,-2.5051723,30.1460157,106.21148518572033
Ryarusera,-3.3613906,29.5519372,39.487427705646624
Mubira,-3.3924833,30.091151,21.715566747013632
Kivoga,-3.3691872,30.0657389,19.73504197141715
Bukamba,-3.3586767,30.0958228,23.272862061897328
Gitwa,-3.3682618,30.092808,22.600542950202396
Rugoti,-3.4120938,30.1336914,26.07397373159926
Senga,-3.3859117,30.2122566,35.092564442234256
Mugogo,-3.3775919,30.0589588,18.707482276059203
Rubaragaza,-3.382813,30.2451641,38.76015091541398
Gashurushuru,-3.3539047,30.2220121,36.84503542037892
Nombe,-3.3446865,30.2430159,39.35731632262654
Masango,-3.2580441,29.6499592,33.87766633764488
Kibogoye,-3.2484735,29.5613247,42.82853183288242
Munini,-2.9356971,29.6793827,60.24043027807666
Rusengo,-2.8904925,30.3338001,76.99081242616795
Mageyo,-3.3953392,30.1750966,30.85646942401074
Kigamba,-3.392235,30.2210361,35.96245581420365
Nyarunazi,-3.4121238,30.2091925,34.43786824173647
Muyange,-3.3570909,30.1277932,26.67947240133735
Nyankanda,-3.2974672,30.3224742,49.29317089031093
Munyinya,-3.3211207,30.3004823,46.2009792808213
Musenyi,-3.374289,30.1831931,32.13907203756991
Kanyinya,-3.4059217,30.0822647,20.47874329486455
Gitongo,-3.1859296,29.8730383,27.517344878260637
Buyenzi,-3.6179341,29.3462439,64.82686284619112
Kiyenzi,-3.4537915,29.4155177,53.8832600813779
Nyabugete,-3.4715568,29.3506327,61.191444044667605
Gasarara,-3.4015194,29.4056718,55.043459672096624
Mbuga,-3.9388371,29.4172979,77.46281991177923
Rambwe,-3.1661277,29.3877633,64.13738712162395
Muyebe,-3.1373186,29.485918,56.47156144955513
Miheto,-3.2291123,29.4645226,53.403589489354395
Mutaho,-3.2236327,29.6041253,40.233229107254424
Kinyamugera,-3.2334401,29.5838053,41.51140510025798
Buraniro,-3.1005182,29.6641119,45.18208978102019
Musema,-3.0797816,29.6714741,46.61776833705161
Gitaramuka,-3.3397599,29.701705,24.34264918402746
Murenguko,-3.3329902,29.7047459,24.368737874435038
Gatongati,-3.4774758,29.6500979,28.19512151544704
